task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,blackboard,1.0,1.0,0.5833,0.5833,0.5833,2.1846,3.0,3273
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,2,blackboard,1.0,1.0,0.5833,0.5833,0.5833,1.9212,3.0,3134
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,concat,1.0,1.0,0.7917,0.7917,0.7917,1.7877,3.0,2675
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,concat,1.0,1.0,0.7917,0.7917,0.7917,2.3178,3.0,3641
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,2,concat,1.0,1.0,0.7917,0.7917,0.7917,1.7049,3.0,2398
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,integrator,1.0,1.0,1.0,1.0,1.0,3.3754,4.0,8067
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,integrator,1.0,1.0,1.0,1.0,1.0,3.7952,4.0,7723
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,2,integrator,1.0,1.0,1.0,1.0,1.0,3.2116,4.0,7524
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,last,1.0,1.0,0.5833,0.5833,0.5833,1.702,3.0,2384
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,last,1.0,1.0,0.5833,0.5833,0.5833,2.2461,3.0,3443
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,2,last,1.0,1.0,0.5833,0.5833,0.5833,1.736,3.0,2504
